time,height (m)
2022-01-20 00:00:00+03:00,0.33638554216867467
2022-01-21 00:00:00+03:00,0.315
2022-01-22 00:00:00+03:00,0.3138790035587189
2022-01-23 00:00:00+03:00,0.30519713261648745
2022-01-24 00:00:00+03:00,0.29241007194244606
2022-01-25 00:00:00+03:00,0.28075
2022-01-26 00:00:00+03:00,0.2739784946236559
2022-01-27 00:00:00+03:00,0.26303249097472925
2022-01-28 00:00:00+03:00,0.2595
2022-01-29 00:00:00+03:00,0.2292114695340502
2022-01-30 00:00:00+03:00,0.22367857142857145
2022-01-31 00:00:00+03:00,0.21053956834532375
2022-02-01 00:00:00+03:00,0.20655913978494625
2022-02-02 00:00:00+03:00,0.24782142857142858
2022-02-03 00:00:00+03:00,0.251913357400722
2022-02-04 00:00:00+03:00,0.24960714285714286
2022-02-05 00:00:00+03:00,0.2454512635379061
2022-02-06 00:00:00+03:00,0.2656583629893239
2022-02-07 00:00:00+03:00,0.23475000000000001
2022-02-08 00:00:00+03:00,0.22643884892086333
2022-02-09 00:00:00+03:00,0.21829787234042555
2022-02-10 00:00:00+03:00,0.21346428571428572
2022-02-11 00:00:00+03:00,0.20704626334519574
2022-02-12 00:00:00+03:00,0.2102491103202847
2022-02-13 00:00:00+03:00,0.20417857142857143
2022-02-14 00:00:00+03:00,0.18725
2022-02-15 00:00:00+03:00,0.190711743772242
2022-02-16 00:00:00+03:00,0.18846428571428572
2022-02-17 00:00:00+03:00,0.19540925266903916
2022-02-18 00:00:00+03:00,0.19551971326164874
2022-02-19 00:00:00+03:00,0.20049723756906077
2022-02-20 00:00:00+03:00,0.23444444444444443
2022-02-21 00:00:00+03:00,0.20545454545454545
2022-02-22 00:00:00+03:00,0.2366785714285714
2022-02-23 00:00:00+03:00,0.28414893617021275
2022-02-24 00:00:00+03:00,0.29134751773049644
2022-02-25 00:00:00+03:00,0.24556737588652483
2022-02-26 00:00:00+03:00,0.2209608540925267
2022-02-27 00:00:00+03:00,0.22322695035460993
2022-02-28 00:00:00+03:00,0.22399293286219082
2022-03-01 00:00:00+03:00,0.204645390070922
2022-03-02 00:00:00+03:00,0.19340425531914893
2022-03-03 00:00:00+03:00,0.2355123674911661
2022-03-04 00:00:00+03:00,0.19549407114624506
2022-03-05 00:00:00+03:00,0.1868918918918919
2022-03-06 00:00:00+03:00,0.1707446808510638
2022-03-07 00:00:00+03:00,0.1606405693950178
2022-03-08 00:00:00+03:00,0.14882978723404255
2022-03-09 00:00:00+03:00,0.14929078014184397
2022-03-10 00:00:00+03:00,0.1501067615658363
2022-03-11 00:00:00+03:00,0.1448581560283688
2022-03-12 00:00:00+03:00,0.13794326241134752
2022-03-13 00:00:00+03:00,0.1317437722419929
2022-03-14 00:00:00+03:00,0.13391459074733097
2022-03-15 00:00:00+03:00,0.1399645390070922
2022-03-16 00:00:00+03:00,0.14225806451612902
2022-03-17 00:00:00+03:00,0.1364642857142857
2022-03-18 00:00:00+03:00,0.12476868327402137
2022-03-19 00:00:00+03:00,0.1279432624113475
2022-03-20 00:00:00+03:00,0.13245551601423486
2022-03-21 00:00:00+03:00,0.13921985815602836
2022-03-22 00:00:00+03:00,0.12769784172661872
2022-03-23 00:00:00+03:00,0.12211469534050179
2022-03-24 00:00:00+03:00,0.125663082437276
2022-03-25 00:00:00+03:00,0.11489285714285714
2022-03-26 00:00:00+03:00,0.11125
2022-03-27 00:00:00+03:00,0.11853046594982079
2022-03-28 00:00:00+03:00,0.14387900355871885
2022-03-29 00:00:00+03:00,0.14373665480427048
2022-03-30 00:00:00+03:00,0.1792170818505338
2022-03-31 00:00:00+03:00,0.192135231316726
2022-04-01 00:00:00+03:00,0.1395505617977528
2022-04-02 00:00:00+03:00,0.13850202429149797
2022-04-03 00:00:00+03:00,0.14008064516129032
2022-04-04 00:00:00+03:00,0.14218106995884772
2022-04-05 00:00:00+03:00,0.15076576576576575
2022-04-06 00:00:00+03:00,0.1436065573770492
2022-04-07 00:00:00+03:00,0.12959183673469388
2022-04-08 00:00:00+03:00,0.1567924528301887
2022-04-09 00:00:00+03:00,0.14483695652173914
2022-04-10 00:00:00+03:00,0.13513333333333333
2022-04-11 00:00:00+03:00,0.13313333333333333
2022-04-12 00:00:00+03:00,0.11554112554112554
2022-04-13 00:00:00+03:00,0.11975000000000001
2022-04-14 00:00:00+03:00,0.13462962962962963
2022-04-15 00:00:00+03:00,0.15368852459016394
2022-04-16 00:00:00+03:00,0.1822745098039216
2022-04-17 00:00:00+03:00,0.147380073800738
2022-04-18 00:00:00+03:00,0.2169140625
2022-04-19 00:00:00+03:00,0.2379642857142857
2022-04-20 00:00:00+03:00,0.2299285714285714
2022-04-21 00:00:00+03:00,0.33588447653429604
2022-04-22 00:00:00+03:00,0.6796762589928057
2022-04-23 00:00:00+03:00,0.8830575539568346
2022-04-24 00:00:00+03:00,0.5672661870503598
2022-04-25 00:00:00+03:00,0.4833928571428571
2022-04-26 00:00:00+03:00,0.37785454545454544
2022-04-27 00:00:00+03:00,0.3596389891696751
2022-04-28 00:00:00+03:00,0.3781949458483755
2022-04-29 00:00:00+03:00,0.4992142857142857
2022-04-30 00:00:00+03:00,0.40768953068592056
2022-05-01 00:00:00+03:00,0.3285251798561151
2022-05-02 00:00:00+03:00,0.5131785714285714
2022-05-03 00:00:00+03:00,0.45086642599277976
2022-05-04 00:00:00+03:00,0.41375451263537905
2022-05-05 00:00:00+03:00,0.52584229390681
2022-05-06 00:00:00+03:00,0.5194623655913979
2022-05-07 00:00:00+03:00,0.6152877697841727
2022-05-08 00:00:00+03:00,0.5130545454545454
2022-05-09 00:00:00+03:00,0.5437634408602151
2022-05-10 00:00:00+03:00,0.5287003610108303
2022-05-11 00:00:00+03:00,0.5200719424460432
2022-05-12 00:00:00+03:00,0.4812186379928315
2022-05-13 00:00:00+03:00,0.44935251798561154
2022-05-14 00:00:00+03:00,0.4069285714285714
2022-05-15 00:00:00+03:00,0.3730357142857143
2022-05-16 00:00:00+03:00,0.34661818181818177
2022-05-17 00:00:00+03:00,0.33707142857142863
2022-05-18 00:00:00+03:00,0.4104609929078014
2022-05-19 00:00:00+03:00,0.3702846975088968
2022-05-20 00:00:00+03:00,0.3311827956989247
2022-05-21 00:00:00+03:00,0.31481884057971016
2022-05-22 00:00:00+03:00,0.3030935251798561
2022-05-23 00:00:00+03:00,0.29841726618705033
2022-05-24 00:00:00+03:00,0.29054744525547443
2022-05-25 00:00:00+03:00,0.27684587813620076
2022-05-26 00:00:00+03:00,0.2516788321167884
2022-05-27 00:00:00+03:00,0.33673553719008265
2022-05-28 00:00:00+03:00,0.30505338078291816
2022-05-29 00:00:00+03:00,0.28678571428571425
2022-05-30 00:00:00+03:00,0.2833090909090909
2022-05-31 00:00:00+03:00,0.28369175627240145
2022-06-01 00:00:00+03:00,0.25589189189189193
2022-06-02 00:00:00+03:00,0.2216216216216216
2022-06-03 00:00:00+03:00,0.22679856115107913
2022-06-04 00:00:00+03:00,0.21928571428571428
2022-06-05 00:00:00+03:00,0.21320143884892087
2022-06-06 00:00:00+03:00,0.19809352517985612
2022-06-07 00:00:00+03:00,0.19605072463768117
2022-06-08 00:00:00+03:00,0.3345787545787546
2022-06-09 00:00:00+03:00,0.3396774193548387
2022-06-10 00:00:00+03:00,0.2541218637992832
2022-06-11 00:00:00+03:00,0.22548387096774195
2022-06-12 00:00:00+03:00,0.23732142857142857
2022-06-13 00:00:00+03:00,0.22425992779783394
2022-06-14 00:00:00+03:00,0.2259205776173285
2022-06-15 00:00:00+03:00,0.21125448028673835
2022-06-16 00:00:00+03:00,0.1950179211469534
2022-06-17 00:00:00+03:00,0.18432142857142858
2022-06-18 00:00:00+03:00,0.18906810035842295
2022-06-19 00:00:00+03:00,0.1910752688172043
2022-06-20 00:00:00+03:00,0.20913978494623656
2022-06-21 00:00:00+03:00,0.21437275985663085
2022-06-22 00:00:00+03:00,0.19714285714285715
2022-06-23 00:00:00+03:00,0.19562277580071175
2022-06-24 00:00:00+03:00,0.19428057553956835
2022-06-25 00:00:00+03:00,0.2096085409252669
2022-06-26 00:00:00+03:00,0.2015
2022-06-27 00:00:00+03:00,0.20870967741935487
2022-06-28 00:00:00+03:00,0.20496402877697842
2022-06-29 00:00:00+03:00,0.1944727272727273
2022-06-30 00:00:00+03:00,0.19214545454545456
2022-07-01 00:00:00+03:00,0.19355704697986578
2022-07-02 00:00:00+03:00,0.19117662518298914
2022-07-03 00:00:00+03:00,0.18390892898888433
2022-07-04 00:00:00+03:00,0.17584073592765687
2022-07-05 00:00:00+03:00,0.17105882352941176
2022-07-06 00:00:00+03:00,0.16992753623188406
2022-07-07 00:00:00+03:00,0.17664310954063606
2022-07-08 00:00:00+03:00,0.1987544483985765
2022-07-09 00:00:00+03:00,0.21053763440860215
2022-07-10 00:00:00+03:00,0.21677083333333333
2022-07-11 00:00:00+03:00,0.22136200716845877
2022-07-12 00:00:00+03:00,0.21985611510791367
2022-07-13 00:00:00+03:00,0.20653571428571427
2022-07-14 00:00:00+03:00,0.19142857142857142
2022-07-15 00:00:00+03:00,0.19704626334519573
2022-07-16 00:00:00+03:00,0.1874820143884892
2022-07-17 00:00:00+03:00,0.1843525179856115
2022-07-18 00:00:00+03:00,0.1948507462686567
2022-07-19 00:00:00+03:00,0.1991489361702128
2022-07-20 00:00:00+03:00,0.20166666666666666
2022-07-21 00:00:00+03:00,0.192625
2022-07-22 00:00:00+03:00,0.21030303030303032
2022-07-23 00:00:00+03:00,0.1918637992831541
2022-07-24 00:00:00+03:00,0.18747330960854092
2022-07-25 00:00:00+03:00,0.1802158273381295
2022-07-26 00:00:00+03:00,0.17717857142857144
2022-07-27 00:00:00+03:00,0.1875886524822695
2022-07-28 00:00:00+03:00,0.18377224199288256
2022-07-29 00:00:00+03:00,0.18273049645390071
2022-07-30 00:00:00+03:00,0.17840425531914894
2022-07-31 00:00:00+03:00,0.1596113074204947
2022-08-01 00:00:00+03:00,0.1416845878136201
2022-08-02 00:00:00+03:00,0.23355871886120994
2022-08-03 00:00:00+03:00,0.26597173144876324
2022-08-04 00:00:00+03:00,0.24553571428571427
2022-08-05 00:00:00+03:00,0.22843416370106762
2022-08-06 00:00:00+03:00,0.20540925266903914
2022-08-07 00:00:00+03:00,0.18283154121863798
2022-08-08 00:00:00+03:00,0.18992857142857142
2022-08-09 00:00:00+03:00,0.19258064516129034
2022-08-10 00:00:00+03:00,0.19188612099644128
2022-08-11 00:00:00+03:00,0.18423487544483985
2022-08-12 00:00:00+03:00,0.19870503597122302
2022-08-13 00:00:00+03:00,0.19271428571428573
2022-08-14 00:00:00+03:00,0.1801418439716312
2022-08-15 00:00:00+03:00,0.18421985815602837
2022-08-16 00:00:00+03:00,0.24597122302158272
2022-08-17 00:00:00+03:00,0.25841726618705035
2022-08-18 00:00:00+03:00,0.2041726618705036
2022-08-19 00:00:00+03:00,0.16946043165467625
2022-08-20 00:00:00+03:00,0.15363309352517987
2022-08-21 00:00:00+03:00,0.14555555555555555
2022-08-22 00:00:00+03:00,0.2935740072202166
2022-08-23 00:00:00+03:00,0.24347517730496454
2022-08-24 00:00:00+03:00,0.18205673758865248
2022-08-25 00:00:00+03:00,0.16185714285714287
2022-08-26 00:00:00+03:00,0.15847517730496452
2022-08-27 00:00:00+03:00,0.1597142857142857
2022-08-28 00:00:00+03:00,0.18333333333333335
2022-08-29 00:00:00+03:00,0.17110320284697508
2022-08-30 00:00:00+03:00,0.15362162162162163
